config_name,algorithm,seed,eval_day,algorithm_family,total_energy_charged_kwh,retail_revenue_cop,energy_purchase_cost_cop,gross_margin_cop,retail_tariff_cop_per_kwh,retail_tariff_month,energy_purchase_cost_cop_per_kwh,cu_tariff_month,cu_with_contribution
station_n02_tx100,ChargeAsFastAsPossible,3,2022-04-06,heuristic,38.71991481130616,56143.87647639393,33522.211526908635,22621.664949485297,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,3,2022-05-21,heuristic,34.57877856831197,50139.22892405235,29936.97520146962,20202.253722582733,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,3,2022-06-15,heuristic,38.71991481130616,56143.87647639393,33522.211526908635,22621.664949485297,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,3,2022-07-10,heuristic,34.57877856831197,50139.22892405235,29936.97520146962,20202.253722582733,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,3,2022-08-24,heuristic,38.71991481130616,56143.87647639393,33522.211526908635,22621.664949485297,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,3,2022-09-17,heuristic,34.57877856831197,50139.22892405235,29936.97520146962,20202.253722582733,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,3,2022-11-09,heuristic,38.71991481130616,56143.87647639393,33522.211526908635,22621.664949485297,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,4,2022-01-17,heuristic,65.73306325798367,95312.94172407633,56909.15544582683,38403.7862782495,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,4,2022-02-14,heuristic,65.73306325798367,95312.94172407633,56909.15544582683,38403.7862782495,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,4,2022-03-05,heuristic,40.01153162899183,58016.72086203816,34640.44364041341,23376.277221624747,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,4,2022-04-06,heuristic,65.73306325798367,95312.94172407633,56909.15544582683,38403.7862782495,1450.0,2025-08,865.7615,2026-08,True
station_n02_tx100,ChargeAsFastAsPossible,4,2022-05-21,heuristic,40.01153162899183,58016.72086203816,34640.44364041341,23376.277221624747,1450.0,2025-08,865.7615,2026-08,True
